gene_id,SRR22458540,SRR22458547,SRR7780828,SRR7780898,SRR7819748,SRR7819792,SRR7819798,SRR7819835,SRR7819862,SRR7819901,SRR7819906,SRR7819938
WTAP,368,633,859,570,3793,4283,4909,2322,8665,3761,5550,3360
MRPL18,98,240,723,395,1614,1536,2118,3770,5028,2112,3238,3720
PNLDC1,0,0,2047,1188,0,15,12,36,30,42,34,29
ACAT2,177,139,1904,1059,1850,827,1509,1305,2798,1461,1145,7227
TCP1,563,1536,3045,1755,8279,5868,8474,9636,14223,9902,8046,10924
MIR1836,2,0,15,9,5,4,3,4,7,13,7,5
MIR1836,1,0,1,1,1,1,1,1,1,1,1,1
SLC22A2,0,0,1828,1161,0,0,0,27,0,0,20,13
SLC22A1,81,6,1294,880,22,11,36,3996,35,0,511,230
IGF2R,740,1790,9343,5345,9990,8235,9161,8721,8648,6951,6664,4214
PLG,2,0,3236,1820,479,0,0,0,0,0,0,0
SLC22A3,126,20,2103,1171,30,153,157,3294,1138,581,293,547
MAP3K4,303,315,7309,4470,1679,1254,1317,1064,1522,1761,1562,1265
AGPAT4,178,54,1253,865,200,392,755,385,1041,939,869,4081
PACRG,0,0,811,606,46,37,33,120,114,54,96,26
PRKN,52,40,1415,877,92,186,56,221,79,179,87,100
C1H6orf118,0,0,2234,1523,5,0,0,0,31,20,12,0
QKI,307,573,1181,793,1277,2572,1329,2642,1156,264,2058,831
TBXT,0,0,1882,882,0,0,0,0,0,0,0,0
SFT2D1,126,175,519,349,834,1611,1490,939,3300,1833,2228,1795
PDE10A,49,77,3167,2006,23,504,303,79,707,626,293,527
MPC1,162,170,11,32,1215,1277,1228,5464,4171,1536,2996,2485
RNASET2,135,141,675,481,2468,1629,3442,4346,3375,6498,2357,4262
CEP43,37,60,1428,1015,573,369,626,422,1149,247,634,575
GPR31,2,0,1427,663,9,102,29,5,57,20,21,8
TTLL2,0,0,3738,1937,0,0,0,0,0,0,0,0
CCR6,3,2,1678,985,23,192,45,0,179,96,119,204
RPS6KA2,221,142,2316,1284,263,1060,729,1102,1533,1800,1672,1358
UNC93A,121,38,1171,783,4466,740,288,101,969,934,637,3651
KIF25,0,0,1546,726,0,0,10,0,0,1,0,0
FRMD1,8,10,2441,1109,9712,682,2568,3,215,4015,975,326
DACT2,94,22,2348,1167,1842,151,945,1661,661,1013,899,315
AFDN,967,1372,6072,3860,26073,11362,9330,5511,9729,15916,11709,8829
SMOC2,358,572,1380,952,79,1547,1354,1300,3319,8792,8602,2270
THBS2,1110,221,3497,1840,87,4824,1203,22804,6547,2658,10060,6232
CALHM6,12,39,946,536,486,332,452,174,756,431,571,355
RSPH4A,8,5,3049,1892,19,13,0,0,6,0,0,0
TRAPPC3L,26,22,1217,905,101,175,118,125,101,244,217,113
CALHM4,57,20,1373,658,64,10,2,2,7,12,12,1148
CALHM5,79,44,711,187,55,386,250,296,503,1109,2650,1738
RWDD1,248,280,1245,1064,2979,2579,4223,3832,7167,9723,5364,4177
ZUP1,124,177,4343,2580,684,757,740,457,1664,997,1082,999
WDR27,98,48,3010,2037,234,610,585,468,355,538,322,127
DSE,312,293,4424,2907,1003,2290,2471,3210,2745,645,2674,1240
FAM162B,16,6,772,396,0,9,14,0,38,48,72,40
KPNA5,161,273,2995,1875,469,724,599,306,1233,673,580,328
ROS1,51,0,9183,6017,0,0,54,0,42,12,0,0
NUS1,145,193,1389,780,1574,2317,3189,844,3880,2986,1464,1664
DCBLD1,83,88,2097,1332,527,303,1203,566,473,259,352,646
GOPC,553,581,2362,1455,1670,2030,2018,1150,3048,4282,2179,1832
SLC35F1,6,2,1717,913,0,10,103,0,41,15,5,19
CEP85L,122,91,5017,2888,78,288,114,92,85,38,443,42
PLN,48,14,546,294,0,183,89,35,652,22,201,43
MCM9,290,292,7160,4136,1277,1244,1177,701,1369,1034,1123,717
FAM184A,27,63,6210,3462,137,191,97,24,238,211,171,122
ASF1A,58,71,977,573,391,457,626,409,1518,588,1055,720
MAN1A1,1440,659,1977,1268,578,11362,6204,11761,17876,13975,15995,4840
TBC1D32,247,286,5929,3873,273,453,348,194,613,327,243,292
GJA1,2712,960,1610,1071,6211,7704,9150,4434,15636,1452,5143,36663
CLVS2,4,0,1929,1153,6,10,0,140,0,25,49,0
HSF2,47,58,3573,2066,382,352,547,353,706,1092,668,479
SERINC1,1399,1659,2306,1646,10388,15918,11901,16191,28859,12055,23919,14057
PKIB,17,27,522,391,136,325,190,17,602,126,306,283
FABP7,0,14,924,594,17,23,2,0,36,23,10,9
SMPDL3A,46,43,2749,1507,195,12482,3732,3208,10153,5185,4952,9287
TRDN,0,0,2975,1873,0,0,0,3,337,0,0,0
RNF217,421,574,1433,868,1422,2351,2040,450,2633,2565,1149,1223
TPD52L1,37,143,648,472,1342,1319,1786,113,2803,4408,1235,1829
HDDC2,59,112,393,289,1390,1042,2450,2734,2282,3943,1790,1828
TRNAE-CUC,0,0,0,0,0,0,0,0,0,2,0,2
HEY2,11,0,297,151,736,134,232,44,95,17,141,50
NKAIN2,0,0,668,405,10,8,8,0,7,2,113,5
TRNAK-CUU,0,0,1,2,0,0,0,0,0,0,0,0
HINT3,296,317,998,621,995,1761,2004,4162,3007,1248,1260,1593
NCOA7,338,840,3862,2658,1097,3379,3126,1168,5558,2324,1816,1233
CENPW,7,48,422,278,140,90,292,323,898,179,147,151
TRMT11,48,91,2690,1549,624,736,545,1037,1618,328,1161,660
RSPO3,36,11,1098,732,6,230,82,531,297,419,218,310
