gene_id,SRR22458540,SRR22458547,SRR7780828,SRR7780898,SRR7819748,SRR7819792,SRR7819798,SRR7819835,SRR7819862,SRR7819901,SRR7819906,SRR7819938
RASGRP3,208,231,3532,2111,168,1723,1133,438,1886,570,3801,699
FAM98A,204,277,2424,1385,892,1618,1727,1686,3652,3109,1753,2574
FEZ2,104,191,1815,1041,719,889,1431,1267,2201,4689,1555,1038
CRIM1,1249,663,3667,2174,9358,8632,7135,8381,7600,1117,9956,4297
VIT,605,59,2553,1520,211,723,325,2213,3233,964,8864,2628
STRN,944,788,3538,2314,2325,3080,1903,820,2663,2533,2504,2715
HEATR5B,375,552,8239,5357,2229,2447,1465,804,2137,632,1670,1530
GPATCH11,162,175,659,424,1547,1403,1113,1463,2408,1152,2724,1534
EIF2AK2,81,96,3215,1945,330,909,324,154,369,57,221,260
CEBPZOS,27,55,113,65,514,404,676,578,1632,1269,908,823
CEBPZ,318,636,6672,3945,4304,3776,3304,2730,6771,4630,4231,3891
NDUFAF7,55,53,1420,1006,307,320,362,352,654,216,406,333
PRKD3,650,559,3544,2344,3123,4177,4163,2308,3953,1882,5068,2214
QPCT,167,53,2017,1283,426,761,599,294,1645,861,1359,5682
CDC42EP3,126,143,1155,601,5445,2798,3740,1316,3287,4842,3587,1712
RMDN2,73,40,2012,1311,312,434,425,665,925,413,670,314
CYP1B1,79,152,2837,1554,2622,8133,2803,1563,1026,371,1152,396
ATL2,670,1528,3136,1973,12826,7634,4429,4735,10822,4718,5186,3316
HNRNPLL,160,250,2451,1698,1504,1425,1415,794,2773,1007,1925,916
GALM,118,870,855,579,7584,4315,2896,1916,7360,3593,2406,1061
ARHGEF33,35,13,2780,1853,92,28,57,62,101,108,49,75
SRSF7,182,312,871,549,4272,2350,2797,1670,7986,7886,5447,5434
DHX57,276,419,5812,3522,1860,1693,1162,666,2146,2958,1464,913
GEMIN6,124,249,754,514,2650,1412,1739,1335,2983,3103,2258,1763
MORN2,13,33,854,501,369,190,361,266,886,290,473,494
SOS1,71,72,1079,685,879,952,1294,842,1546,2662,1374,1038
CDKL4,11,7,1995,1128,10,30,14,0,61,26,20,29
MAP4K3,318,295,4191,2805,1732,1402,1175,1121,1938,552,1705,926
TMEM178A,4,4,1452,857,0,10,0,31,7,11,3,6
THUMPD2,15,48,3118,1661,315,291,209,197,636,347,305,237
SLC8A1,179,97,3373,2583,150,409,105,431,170,13,366,159
PKDCC,186,70,1330,750,105,1373,1399,5233,2631,2960,2927,1796
EML4,319,641,4585,2993,4311,3258,2533,1191,3243,2184,2571,2226
COX7A2L,124,201,408,240,1342,1568,2047,3920,3741,1861,3437,3276
KCNG3,6,2,2465,1718,80,12,11,3,17,19,8,10
MTA3,95,117,2132,1384,1601,902,783,767,1546,2465,1182,1499
ARID5A,122,274,2090,944,2762,2941,3221,2331,3813,6723,3334,1156
NEURL3,5,0,1312,667,111,37,37,16,82,28,79,22
ITPRIPL1,126,197,2451,1656,4694,1866,1570,695,1646,946,1882,1486
NCAPH,59,87,2663,1696,536,427,845,399,2139,365,650,751
TMEM127,190,197,672,347,3792,3045,4809,4042,5080,9558,4131,3671
SNRNP200,1445,2113,23,53,19077,12298,8617,13496,11707,12685,16314,9480
CIAO1,227,307,958,503,2508,2158,2118,1942,4097,2304,2954,1989
DUSP2,7,12,504,270,224,307,180,190,206,1156,324,719
STARD7,519,1185,1689,873,7053,7707,7629,6254,11263,6192,9880,5193
ADRA2B,18,17,2303,1238,20,27,52,80,38,94,302,34
GPAT2,13,10,2583,1289,97,135,28,0,112,52,28,0
FAHD2A,62,96,932,455,1554,775,856,2683,1586,2018,1368,565
KCNIP3,19,87,800,388,77,278,535,272,293,850,236,204
PROM2,735,3184,1924,952,7479,17065,11115,50,31737,27645,10838,13848
MRPS5,140,244,1584,967,1889,1565,1701,2647,4044,2012,2492,1958
MAL,76,151,686,420,1184,5302,6708,6094,8931,16166,8200,2563
MALL,225,57,629,318,4675,1855,2241,553,5025,3374,3461,4801
NPHP1,22,29,3292,2023,387,219,202,136,563,550,509,160
MTLN,15,14,0,9,589,217,663,376,446,1306,641,566
TPC3,163,87,3161,1913,13,845,350,2334,1335,3996,1762,816
BUB1,32,107,4528,2873,100,165,556,70,1397,115,121,443
BCL2L11,77,170,904,596,1133,893,1027,407,1071,2865,1093,358
ACOXL,0,10,2667,1504,21,90,39,30,199,139,91,0
ANAPC1,324,343,6646,4363,1466,1540,1513,1060,1893,1419,1641,1310
MERTK,103,222,3943,2237,1488,1227,612,3562,1630,190,1791,449
TMEM87B,362,539,3169,1977,2268,2813,3406,1165,3772,2030,2868,2001
FBLN7,225,217,2051,1018,861,2136,2447,2566,1716,1541,1324,1243
ZC3H8,64,137,1919,1050,503,589,437,203,924,656,548,391
ZC3H6,145,186,3645,2642,1083,1181,455,584,921,210,1191,243
TTL,157,158,1579,994,810,1260,1516,2324,3042,2929,1806,1437
CHCHD5,38,38,668,390,631,345,587,853,1034,1424,464,641
POLR1B,187,250,4863,3163,1983,1628,1532,1641,2056,1479,1687,1760
SLC20A1,411,323,3322,2270,1279,3723,5187,3528,11414,13084,3308,3888
CKAP2L,59,98,4456,2450,134,128,375,153,1207,118,77,373
IL1B,0,0,741,493,9,102,58,3,29,0,79,34
IL1A,31,14,1128,643,13,223,207,41,250,149,274,739
IL37,113,40,861,543,7,4,10,0,22,8,0,5964
IL36G,18,9,381,238,6,0,8,0,10,0,4,5248
IL36B,41,11,641,451,30,0,0,0,12,0,0,9873
IL1F10,118,21,669,485,101,0,0,0,6,11,0,4114
IL36RN,558,122,298,187,230,0,0,0,22,5,21,33642
PSD4,345,433,2950,1483,7973,6359,5315,2683,6013,7967,7262,4658
IL1RN,42,16,437,259,241,929,874,1659,702,187,1036,2270
PAX8,0,0,1388,686,12,23,19,23,22,20,24,0
RPIA,47,84,1747,1343,883,913,1097,1747,1845,3168,1682,1244
EIF2AK3,291,639,4317,2691,1467,2565,1762,1334,3175,987,2836,1480
FOXI3,0,0,1247,665,9,0,0,0,0,0,0,12
THNSL2,66,68,1535,927,833,329,197,575,518,244,256,171
KRCC1,211,335,1077,832,2570,2453,2464,4814,5893,2897,4354,3058
CD8A,0,0,685,436,21,111,14,0,73,37,79,82
RMND5A,834,806,1420,863,3081,3768,2504,2481,5076,4012,4816,5183
RNF103,330,195,4919,3030,1829,2038,2143,1163,3917,3171,2514,3116
CHMP3,416,481,952,582,7394,4715,6898,15051,13235,13071,14244,11304
MIR8843,0,0,1,0,0,0,0,0,0,0,0,0
KDM3A,709,807,5851,3666,6503,5119,3853,1561,6084,5675,6553,4433
REEP1,51,8,889,537,26,94,98,808,265,569,180,68
MRPL35,42,42,1029,543,595,375,560,1024,1468,754,1080,1224
IMMT,343,598,2756,1750,5656,4280,4032,5694,7784,3723,5613,5828
PTCD3,218,467,2543,1449,3033,2225,2082,1286,3767,2815,2506,2468
POLR1A,253,330,5273,3162,2658,2524,1910,1751,2254,3759,2165,2499
ST3GAL5,131,220,2379,1351,793,1240,1213,387,3640,5159,2846,895
ATOH8,157,28,547,353,170,434,792,2802,299,1559,1019,209
GNLY,0,3,17,18,4,53,16,0,50,127,115,48
SFTPB,34,3,730,383,15,30,8,0,7,0,19,22
USP39,96,114,2061,1157,1601,1140,1221,691,2130,1000,1867,2005
C17H2orf68,408,448,632,261,4648,3442,3876,3831,4972,4619,4913,4482
TMEM150A,85,85,899,520,3102,1254,1828,1901,2677,4719,3135,1153
RNF181,162,183,547,287,3076,1785,3009,4509,3709,8190,4652,5551
VAMP5,36,34,285,189,2266,854,2016,1811,2020,8881,2278,728
VAMP8,197,356,218,132,6834,4313,6635,4819,8826,15712,8135,6026
GGCX,703,603,2819,1450,6337,5313,4594,5044,6787,6979,7025,4176
MAT2A,836,1108,2121,1330,11035,9367,7604,5721,16162,7522,12057,15583
SH2D6,0,3,808,381,7,155,58,0,206,436,70,805
CAPG,533,1557,1006,445,50958,13110,22675,6336,25544,63500,13751,17639
ELMOD3,327,366,969,521,4416,3028,3211,6311,4532,5218,4574,2777
RETSAT,261,115,1674,936,1947,999,1001,2843,1412,2605,1544,2699
TGOLN2,567,308,2260,1405,6315,8259,5849,4835,7203,6748,9652,3474
TCF7L1,45,76,1572,859,1093,1321,523,1865,1249,278,1382,393
TRNAR-CCU,2,4,0,1,2,1,0,0,0,0,0,0
KCMF1,143,195,1528,911,1673,1556,1883,2715,3189,2099,2404,2121
TMSB10,911,758,244,139,13058,11066,23901,29984,43314,41950,38939,26311
TRABD2A,10,6,1824,1042,26,42,13,41,68,34,46,53
DNAH6,12,13,21368,12237,2,4,5,1,20,9,3,2
SUCLG1,275,496,1889,1026,4683,4371,5336,19059,11055,8303,6610,6545
CTNNA2,0,3,3366,1978,11,9,13,0,93,18,0,31
LRRTM1,0,0,2317,1314,0,0,127,0,19,0,0,0
LRRTM4,7,0,2767,1779,0,3,0,0,16,0,0,0
GCFC2,115,171,3468,2288,589,690,407,252,764,238,748,307
MRPL19,84,119,1066,539,991,710,883,1041,2661,2783,1506,1266
EVA1A,46,166,1094,472,1602,1077,1229,635,1474,1363,751,755
TACR1,13,4,1043,639,12,37,12,315,14,0,58,28
POLE4,93,139,556,248,2267,1159,2202,3354,3265,3332,3046,2435
HK2,252,51,2427,1548,98,240,650,8317,422,80,425,1818
AUP1,228,392,1783,907,6870,3937,4615,5356,6870,10825,5936,4430
DQX1,11,12,1963,1116,325,141,110,17,239,872,224,206
TLX2,3,0,2140,988,9,11,23,11,46,30,56,26
SEMA4F,140,91,2679,1552,678,1152,1446,1050,1452,1574,2516,673
M1AP,5,9,2225,1365,25,47,29,26,61,82,15,7
DOK1,83,140,1933,959,1829,1837,2575,2185,3468,6761,2988,1221
LOXL3,234,205,2549,1325,1032,2195,1955,1365,3585,2945,2285,1340
HTRA2,84,171,1938,942,1762,1290,1496,1155,1931,2940,2771,872
PCGF1,86,107,1163,607,1980,946,729,476,1422,1592,1345,698
LBX2,8,1,610,262,1092,196,211,74,227,2296,317,62
TTC31,147,166,1849,966,2923,2013,1354,751,2099,1352,2296,1137
CCDC142,61,52,4316,2104,500,361,152,100,220,33,298,193
MRPL53,103,209,12,11,1759,1844,2241,1700,3622,3723,2462,2541
INO80B,55,80,1605,768,865,666,975,719,1547,2124,1560,875
MOGS,131,165,3674,1695,817,915,1074,1001,1256,1755,1210,1062
WBP1,155,255,686,304,3118,2555,2613,6559,4760,3556,3891,2173
RTKN,186,153,1754,934,2523,1418,2513,236,2502,5372,3314,3538
WDR54,29,19,960,522,350,161,388,180,242,1155,537,348
DCTN1,735,746,3360,1819,8165,6125,6234,10543,8061,15531,7965,8631
C17H2orf81,61,4,4006,2043,201,173,119,0,87,79,24,1672
SLC4A5,10,8,3452,1942,41,48,31,0,17,152,58,37
MTHFD2,60,43,1450,857,205,349,848,71,1147,382,380,666
MOB1A,809,1080,1542,886,6127,7771,7306,4788,12123,3746,7850,6038
BOLA3,71,171,164,125,2309,1294,1681,2706,3874,4471,2510,1403
TET3,611,432,7470,3611,1870,1469,1179,335,1126,1245,819,2018
DGUOK,53,73,1048,683,1005,476,524,577,1460,1351,1031,707
ACTG2,342,1523,1240,756,971,5934,7087,613,27735,14894,4583,12684
DUSP11,174,184,1058,722,1972,1583,1923,2854,5024,3061,3454,2270
TPRKB,45,87,615,362,532,541,690,399,2303,605,470,717
FBXO41,9,25,2293,1279,209,28,56,37,101,114,53,70
ALMS1,1032,1506,22421,13685,3096,2917,1819,1475,3540,2389,2862,1175
CCT7,474,1016,524,412,11370,7023,7155,12554,12700,6633,7724,8521
NOTO,3,0,549,316,5,9,0,13,0,15,0,0
PRADC1,110,150,1576,793,1207,875,1163,1259,1627,1494,994,1435
SMYD5,157,156,947,500,2865,1715,2071,2422,2348,2444,1579,1329
RAB11FIP5,193,193,4100,2168,2947,2798,2362,2755,2878,4462,5766,1962
EMX1,2,3,451,279,8,9,0,0,0,0,0,9
SFXN5,29,116,1332,781,124,623,415,207,473,540,294,352
SPR,87,63,732,447,1306,1193,1726,3754,1966,3907,2179,1086
CYP26B1,279,30,1719,910,113,103,293,235,223,745,763,3154
EXOC6B,601,396,3567,2330,4531,3071,2701,2514,2780,2250,3846,2359
DYSF,429,409,5137,2960,93,1638,1949,4342,2356,3367,2937,1018
MIR8842,4,3,115,44,33,39,8,42,33,3,32,16
MIR8842,1,1,1,1,1,1,1,1,1,1,1,1
ZNF638,905,1233,15084,8476,4631,4946,3508,3619,6978,6580,7820,4162
PAIP2B,222,336,871,510,3142,2470,1582,2229,2330,3016,3002,1764
NAGK,197,593,170,90,7349,4501,6237,15941,9645,6532,7766,5651
PHTF1,167,275,2113,1455,1408,2115,2954,1816,4396,2971,2586,2274
BCL2L15,15,11,463,326,56,216,201,16,286,24,269,178
PTPN22,19,29,4004,2431,181,311,120,16,261,140,140,94
RSBN1,232,271,4363,2500,863,1378,890,341,1314,727,890,405
OLFML3,495,411,1574,863,147,1800,890,7243,6970,7103,7244,2053
AP4B1,162,232,2430,1752,3052,2166,2142,1386,3403,2609,2366,2100
DCLRE1B,96,87,1530,999,949,398,923,521,1917,990,902,2083
HIPK1,890,877,6333,3905,3630,5196,4032,2133,4066,8339,4478,3286
TRIM33,350,430,5311,3243,1515,2169,1415,1094,1628,672,1410,900
BCAS2,139,193,1132,599,1759,1287,1700,2079,4835,3909,3058,3183
AMPD1,16,15,2982,1788,26,37,22,0,451,106,95,32
DENND2C,458,183,5280,3333,324,337,316,252,639,216,511,2568
SIKE1,121,150,1211,805,643,894,890,674,2112,1301,1085,862
CSDE1,2685,4364,3343,2231,30477,28131,24326,48804,40036,23805,41297,27196
NRAS,285,276,1004,637,1253,1987,1243,1042,1884,350,2054,2408
SYCP1,0,0,3657,2681,0,0,0,0,0,0,0,0
TSPAN2,35,21,937,590,59,812,317,86,880,353,427,293
NGF,2,4,838,380,0,27,20,42,65,142,20,30
VANGL1,517,321,1976,1236,3293,1952,2965,1233,2349,1970,2958,4269
CASQ2,2,0,2093,1244,15,15,5,0,435,37,15,20
SLC22A15,60,13,2042,1091,214,300,224,119,206,670,419,205
MAB21L3,75,16,1221,716,47,531,111,44,102,582,110,797
ATP1A1,956,1808,4030,2401,33878,27739,37461,10833,40524,46011,47510,23098
CD58,139,58,904,509,656,2382,2817,1740,2867,4251,3310,2334
IGSF3,180,751,3724,1939,3039,5633,9137,781,4971,3023,5023,2232
CD2,7,10,1466,926,239,1181,253,527,1048,1173,482,497
PTGFRN,911,510,3087,1837,663,3675,2474,1622,3014,732,4184,1975
CD101,52,29,3626,2075,36,242,448,66,215,728,450,190
TTF2,423,570,3410,2286,6459,3175,3605,2595,4999,4823,5770,4121
TRIM45,47,77,2388,1314,2451,629,1176,910,825,3856,1219,648
VTCN1,70,586,1410,752,35218,1996,7344,60,7021,5104,3613,1433
MAN1A2,959,1493,3062,1816,3666,5594,4658,2151,5866,5773,4234,3178
TENT5C,693,821,1999,1055,663,1635,514,498,1288,2032,767,455
GDAP2,565,725,1752,1097,1606,2422,2583,1343,3928,3005,2176,2657
WDR3,293,456,3489,2078,3324,3029,3001,1758,4754,1683,2822,3309
SPAG17,3,7,10648,5978,15,59,21,84,100,33,10,30
TBX15,206,153,1680,980,47,450,294,1398,1141,629,937,532
WARS2,52,158,1349,818,718,483,558,544,943,540,972,380
HAO2,0,2,1591,950,22,0,0,0,0,0,7,0
HSD3B2,16,0,1706,1166,8,0,3,0,0,0,0,81
ZNF697,71,109,2192,1340,331,379,299,228,440,251,506,320
HMGCS2,84,0,942,548,112,0,0,11,0,7,0,392
SEC22B,321,426,1441,793,1847,2639,2264,3858,3368,1891,2989,2004
PHGDH,935,588,74,100,6408,2492,6041,32530,12381,11195,3483,9795
NOTCH2,4571,4420,9135,5050,11920,17049,11119,13229,12591,13444,11121,8115
PDE4DIPP2,349,312,7028,4250,2386,1993,2642,3604,3386,2139,3263,1587
PRKAB2,492,446,962,674,2615,3465,2312,2653,4567,3940,3341,1816
FMO5,101,243,2213,1433,673,1601,558,738,1789,324,753,375
CHD1L,25,50,655,363,441,328,344,362,726,1656,296,337
BCL9,159,123,5142,3113,1868,1706,1249,815,1383,1808,1430,893
ACP6,56,61,1691,1097,1210,427,595,952,796,714,1017,799
GJA5,49,21,1181,711,6,399,369,447,1001,145,282,502
GJA8,9,5,1395,873,2,140,44,0,128,15,28,26
GPR89A,269,440,3386,2029,3383,3624,3855,2411,6351,7252,3861,3096
PDZK1,31,10,1251,702,78,58,249,23,844,354,83,330
CD160,11,30,1168,719,47,104,46,87,67,269,211,80
NUDT17,22,24,1199,534,520,283,320,116,380,423,471,151
PIAS3,129,111,1649,1033,1791,1276,1220,1406,1655,2627,1965,1436
POLR3C,96,194,2221,1487,1818,1390,1139,1328,2056,1634,1842,858
RNF115,516,843,935,677,2719,4024,3377,3654,5191,2719,4217,2469
ANKRD35,219,44,3357,1855,200,111,152,45,281,806,355,3871
ITGA10,25,73,3160,1810,3393,830,944,35,1202,1374,2441,264
PEX11B,56,123,1333,717,1097,1099,992,408,2072,2344,1353,1115
LIX1L,77,70,883,488,43,440,267,729,370,357,879,292
RBM8A,168,263,507,309,4895,2927,3214,1965,8084,6700,4877,5242
ANKRD34A,6,8,1975,1016,52,68,54,181,80,77,133,35
POLR3GL,39,89,1012,637,1001,897,981,844,2218,1569,1813,697
HJV,5,6,1497,837,56,29,26,108,399,64,28,50
TRNAN-GUU,1,0,0,0,0,0,0,0,0,0,0,0
TXNIP,6388,10673,1705,1235,78887,74442,45726,88741,39450,171714,215789,18122
TRNAN-GUU,0,0,0,1,0,0,0,0,0,0,0,0
FCGR1A,34,13,1513,872,101,700,683,1394,895,379,965,313
H3C13,49,83,24,19,57,85,73,32,47,48,49,25
H2BC18,151,270,1113,782,601,430,418,476,620,510,408,920
SV2A,48,25,2365,1485,226,347,332,239,326,490,1159,272
H3C15,192,285,571,87,50,68,23,3,25,42,67,41
H3C14,49,94,21,22,7,8,12,6,3,12,4,8
H2AC19,85,171,4,6,62,41,107,388,168,184,52,273
H2BC20,41,60,53,73,180,147,142,364,206,182,178,202
H2BC19,94,156,219,141,401,318,295,769,420,386,357,459
H2BC21,494,698,362,228,3883,3426,3858,8488,6488,5630,4070,4335
H2AC20,98,137,96,88,60,29,78,168,81,114,44,139
H2AC21,18,48,172,166,1,9,3,1,3,24,10,7
BOLA1,12,26,0,149,1640,805,1059,1805,2418,4039,1863,1602
MTMR11,196,55,2088,1303,533,1173,699,625,1441,2242,4223,1950
SF3B4,48,62,627,296,2038,980,1561,836,2404,1287,1682,2070
OTUD7B,236,235,3236,2195,1937,2160,1669,1593,2362,3665,2373,1141
VPS45,248,277,2194,1465,1834,2045,2115,2981,4275,2841,2718,2626
PLEKHO1,74,74,1326,653,578,1113,1484,5371,1827,3440,1733,973
ANP32E,87,147,1465,908,1300,1557,1031,808,2561,748,1597,1437
CIART,20,16,1867,1163,269,148,66,239,327,362,337,169
CA14,11,0,1158,663,197,38,91,14,158,131,115,87
C17H1orf54,44,42,23,32,144,887,536,1913,3462,2512,3165,1196
APH1A,222,316,622,391,3568,2507,3548,2277,4409,5964,4074,2856
MRPS21,125,180,232,168,2101,1736,2363,2167,4786,3281,3379,3529
PRPF3,308,427,2191,1475,2617,2639,2141,1439,3894,6705,3814,2750
RPRD2,346,258,5493,3650,2908,2173,1772,1521,1647,2857,2712,1047
TARS2,129,178,1945,1073,2093,1337,1420,1200,2455,2001,1768,1513
ECM1,490,88,1231,856,872,3377,1171,10096,13181,9826,8713,6599
ADAMTSL4,204,44,3144,1708,6169,2391,2266,2130,2585,7572,4618,1296
MCL1,847,1084,2300,1166,19392,18335,10869,4823,22251,4179,21776,7849
GOLPH3L,143,345,1148,723,2716,2702,2761,2436,5579,4508,3859,2111
HORMAD1,0,0,1886,1248,15,29,261,0,142,0,21,30
ENSA,253,219,364,217,3706,3190,3992,2739,8321,3185,5102,5873
CTSS,245,269,1225,841,1190,9327,6145,17013,27596,3472,12995,12325
CTSK,590,611,772,505,1051,14415,11852,30548,40311,3811,27215,18546
ARNT,498,553,2481,1789,3399,3906,2013,2312,3797,1836,4084,1787
CTXND2,5,2,3,2,6,74,67,35,192,161,121,37
SETDB1,262,496,4555,2945,3030,2968,1899,1648,4042,2343,3327,1526
CERS2,197,271,920,548,4102,3168,3581,3697,5858,3146,4680,2755
ANXA9,175,180,3464,2596,2530,2634,1328,96,2712,932,1468,8426
MINDY1,310,796,1171,123,5315,5402,4180,1444,8824,6361,11020,4004
PRUNE1,111,113,1204,660,1887,1313,1515,1118,2297,4185,1857,1911
MLLT11,48,73,268,216,209,398,281,113,763,590,204,195
BNIPL,239,339,1070,583,4095,1226,794,6,1660,1393,2268,4674
C17H1orf56,51,36,1350,747,1271,288,261,107,482,718,563,1790
CDC42SE1,126,176,450,363,967,2009,1041,888,1622,97,1808,2181
GABPB2,138,149,1725,909,964,1002,402,703,812,467,1115,725
SEMA6C,177,86,2689,1361,825,648,463,1874,588,986,1228,234
TNFAIP8L2,13,7,696,403,63,369,333,738,476,489,509,285
SCNM1,28,62,1021,614,823,479,678,878,1148,2714,1099,802
TMOD4,18,9,1353,726,48,133,369,282,1317,445,541,127
LYSMD1,44,43,819,415,401,276,320,273,567,452,669,478
VPS72,109,183,743,441,3350,1774,2681,4038,3923,4846,3610,2765
PIP5K1A,358,564,2007,1238,3158,3503,2779,1830,3984,2675,5539,3999
PSMD4,170,277,825,541,4060,2685,3772,4317,7577,5270,5200,6036
ZNF687,133,160,3810,2103,2475,1641,1563,1241,1668,1454,1941,1063
PI4KB,292,290,2137,1326,4024,3035,3451,3327,4079,6188,4159,5128
RFX5,142,124,1525,873,1871,1603,1419,887,2342,1957,2349,783
SELENBP1,381,129,1102,630,7742,1679,1781,4981,3533,2890,4577,7908
PSMB4,367,694,832,437,9914,6064,8735,11011,13826,13235,11504,12403
POGZ,291,238,5364,3474,2210,1862,1006,687,1423,521,2074,842
CGN,379,802,2761,1558,14711,5104,3612,7,4511,3984,9632,4503
TUFT1,576,558,1223,797,4722,2736,2400,700,4524,4883,4293,8858
SNX27,462,381,2253,1328,3789,3325,3121,2965,3362,4766,3869,3066
CELF3,7,0,1575,804,5,5,0,0,0,0,0,12
RIIAD1,8,22,207,191,176,143,332,76,555,1116,278,321
MRPL9,157,244,565,438,2983,1874,2216,3656,5900,5664,3847,2845
OAZ3,0,4,638,382,62,60,71,280,689,549,173,24
TDRKH,0,0,2014,1205,20,46,42,78,70,72,183,34
LINGO4,0,0,2620,1229,25,25,14,3,23,39,45,18
RORC,52,49,1221,586,532,282,182,65,240,964,390,115
C2CD4D,4,12,21,54,60,50,41,9,48,45,27,2
THEM5,248,41,870,457,607,80,77,0,56,407,42,16757
THEM4,72,82,883,654,959,786,456,551,1040,76,891,1106
S100A10,672,443,583,424,16347,11160,16379,17054,47583,36019,37755,31348
S100A11,302,292,247,174,22082,9987,20687,19147,24229,84207,17695,23179
TCHHL1,93,24,6867,3688,26,33,28,3,26,38,32,1247
TCHH,3483,391,3333,1769,7746,96,86,9,235,217,105,108605
RPTN,36,3,6772,3648,7,14,0,0,0,21,17,5322
FLG,5091,2834,1496,972,162,10,7,10,124,38,38,333865
CRNN,92,16,1901,989,206,0,4,0,12,4,0,7775
C17H1orf68,218,37,1157,775,36,0,0,0,28,0,2,24434
LCE6A,15,9,0,0,0,13,0,0,0,0,0,4797
IVL,249,52,888,474,1079,22,22,0,100,11,4,52122
PRR9,455,57,501,296,1331,0,0,3,47,36,12,25680
LORICRIN,689,220,908,525,222,0,14,0,86,79,24,21492
MAGI3,437,1047,7443,4162,7824,3596,4078,1276,3856,2622,3840,971
LRIG2,737,827,5162,3258,2818,2442,1374,902,2068,2874,1870,1188
SLC16A1,288,81,1963,1115,48,1592,788,758,1124,825,597,1033
PPM1J,39,14,1651,764,264,132,107,64,192,688,136,340
RHOC,221,223,615,306,3587,4858,5894,13249,11889,10162,12672,5790
MOV10,125,193,2457,1176,1428,1894,2186,2791,3198,5766,3242,1077
ST7L,194,206,3062,1889,546,681,398,450,691,441,724,412
CAPZA1,709,915,1425,835,4433,8292,9376,6229,16984,8606,9713,12246
WNT2B,36,17,1305,647,20,57,17,0,21,140,37,37
CTTNBP2NL,221,97,2812,1651,2108,1796,1748,616,1834,1240,2484,2572
KCND3,19,9,2756,1571,41,81,95,2,160,81,207,10
DDX20,182,587,3602,2225,2109,2508,2378,1146,4376,1896,2858,1702
INKA2,14,4,63,61,51,63,123,156,109,136,368,43
RAP1A,207,224,1047,576,2004,3329,3297,6182,8368,1792,4337,3158
ADORA3,10,12,1548,876,2,243,128,265,334,163,231,127
TMIGD3,0,0,258,224,0,7,0,0,0,0,0,0
C17H1orf162,3,4,687,375,37,144,461,496,176,174,102,57
OVGP1,41,42,1807,1117,1722,598,417,202,676,2378,1014,222
C18H7orf57,64,43,1323,640,1338,518,465,354,1257,1268,1230,426
UPP1,138,55,1289,626,1216,5263,6304,4889,6720,10722,5631,6784
ABCA13,16,7,21924,12249,62,430,1000,179,214,717,358,84
SPATA48,0,0,2452,1412,0,0,0,0,0,0,0,0
IKZF1,43,42,2257,1370,180,916,309,524,467,1044,582,393
FIGNL1,37,67,3906,2323,651,306,632,340,889,1644,733,346
DDC,0,0,1232,810,4,0,12,32,0,31,0,21
GRB10,134,152,1276,732,763,1770,3346,5442,1921,3297,2303,1634
COBL,22,38,851,517,816,200,170,0,211,198,161,256
SEC61G,92,195,185,143,1140,1335,2527,1340,4219,3225,1647,2502
EGFR,1205,751,3422,1971,15347,5391,7047,4457,5184,12406,4349,4342
LANCL2,112,140,1412,873,1569,887,1185,2875,1736,2783,1486,1165
VOPP1,134,106,359,191,2547,760,1152,1994,1057,2690,1136,647
BLVRA,85,62,697,458,707,1027,1296,2012,2503,1437,2164,2093
COA1,85,169,455,329,2024,1047,1359,2213,2919,2510,2082,1354
STK17A,189,523,1885,1023,1098,1997,2321,861,2974,1659,978,2002
HECW1,9,11,4425,2644,100,8,64,0,15,0,10,20
MRPL32,44,119,900,527,855,516,1107,1135,2472,1038,1148,1264
C18H7orf25,63,89,1436,932,513,650,839,409,1212,498,734,690
PSMA2,172,264,0,6,3116,2597,4217,4645,9125,2987,5821,8784
INHBA,40,6,1441,898,198,314,513,44,348,613,81,278
GLI3,260,130,7483,3945,583,951,1192,398,962,3653,564,576
MPLKIP,24,58,1305,653,412,253,416,257,577,165,342,316
SUGCT,29,20,1166,861,202,157,82,155,373,229,326,123
CDK13,550,738,6002,3740,2921,2685,2421,1858,3224,2364,2843,1789
RALA,245,276,1018,506,2936,3118,3459,4480,5844,5933,7751,3986
YAE1,122,182,1653,935,1274,1500,1944,849,4346,3104,2328,1991
POU6F2,0,0,2459,1342,0,7,4,11,0,10,0,0
VPS41,383,755,3855,2387,4046,3321,2689,5890,4549,3967,4766,3427
AMPH,5,0,2347,1388,0,30,27,70,68,15,52,12
STARD3NL,90,109,834,546,454,1306,1421,1958,2798,2287,2669,1172
EPDR1,69,33,464,279,120,514,719,1419,1891,1270,1377,748
SFRP4,1669,280,1297,680,194,4872,677,474,26083,19618,3256,436
PNPLA8,481,797,2857,1811,2229,4870,3425,5249,5707,4691,5896,3294
NRCAM,34,113,5311,3433,645,1946,2219,19,2841,5114,5320,516
LAMB4,76,143,5252,3223,101,245,14,125,413,114,528,564
DLD,299,233,4004,1593,2673,3250,3067,6428,7977,1589,3800,3372
LAMB1,2732,2543,5630,3389,1097,17127,9803,69922,23305,27406,24791,11606
CBLL1,166,125,2436,1476,561,961,589,414,1247,567,708,718
SLC26A4,13,87,2742,1844,269,5799,4799,79,4053,5909,2142,8680
BCAP29,200,327,1258,875,1118,2494,1934,1489,4496,1039,1740,1613
PIK3CG,93,51,5567,3111,126,913,452,789,706,294,672,381
